L25
honeymoon                           蜜月
hook                                      (名)鉤子、(動)用鉤鉤住
horizon                                  地平線；慾望知識興趣的範圍；眼界
rise above the horizon          從地平線升起
horrify                                   使害怕
hose                                      水管
hose the garden                   用水管澆水
Fireman hosed the burning car.                      消防員用水管沖洗著火的汽車
household                            家庭
household member              家庭成員
housework                            家事
humanity                              人性
with humanity                      用人性...
humidity                              濕度
hurricane                             颶風
hush                                     (名)寂靜、(動)使安靜
The student hushed the noisy student in five minutes.               老師在五分鐘內就使安靜的學生們安靜下來





L26
hydrogen                            氫
identical                              相同的
be identical to A                 和 A 相同
Her dress is almost identical to mine                       她的衣服和我的幾乎一模一樣
identification                      (名)識別
identification card              身分證
identify                               (動)識別；發現確認；
identify with somebody              諒解某人
idiom                                  /ˈɪdiəm/慣用語
idiot                                    /ˈɪdiət/蠢人
idle                                     /ˈaɪdl/(形)空間的、(動)使空閒
idle time                             閒暇時間
idol                                     /ˈaɪdl/偶像
ignorance                           /ˈɪɡnərəns/無知
out of ignorance                出自無心
ignorant                             /ˈɪɡnərənt/無知的
illustrate                             舉圖或實際說明
an illustrated magazine                 有插圖的雜誌
illustration                         圖解
full-color illustrations        全彩插圖
imaginary                          想像的
imaginative                       有想像力的
an imaginative kid            有想像力的小孩
imitate                             (動)/ˈɪmɪteɪt/模仿
mimic                               (動名)模仿
imitation                           (名)模仿
imitation pearl                  珍珠
immigrant                        (名)/ˈɪmɪɡrənt/外來移民
Jones is an illegal immigrant                       瓊斯是非法移民
immigrate                        (動)遷入
immigration                     移居
immigration control         入境檢查
impact                              影響
make an impact               對...有影響
imply                               暗示
impose                            徵(稅)；把...強加於；始接受；推行；迫使
She always wants to impose her will on other people.                她總是想把自己的意志強加在別人
be imposed on                徵收...稅





L27
impression                      印象
under the impression that               誤以為
incident                           /ˈɪnsɪdənt/事件
an isolated incident         個別事件
including                         包含
incredible                        極好的
indication                        指示
give an indication            給予指示
infant                               /ˈɪnfənt嬰肥/嬰兒
an infant prodigy               神童
prodigy                           神童；天才
infection                         感染；傳染
increase the risk of infection              增加傳染風險
inflation                           膨脹
tax inflation                     物價上漲
influential                         有影響力的
an influential figure           舉足輕重的人物
informative                         見聞廣博的
information                         消息；資訊
ingredient                          成分
initial                                 (形)開始的、(名)首字母、(動)草簽
injure                                  受傷
innocence                           /ˈɪnəsns/清白
input                                   輸入
insert                                  (動)插入、(名)插入物
insert an ad                        插入廣告
inspection                          檢查
safety inspection                安全檢查
inspiration                          /ˌɪnspəˈreɪʃn/靈感
inspire                                 鼓舞
The professor inspires students with his enthusiasm.                        教授用熱情鼓舞學生
enthusiasm                          /ɪnˈθuːziæzəm/熱情
install                                   安裝
instinct                                 /ˈɪnstɪŋkt/本能
know by instinct                    憑直覺分辨
instruct                                /ɪnˈstrʌkt/教導
Some of the staff have been instructed in communication skills.                 有些員工接受過溝通技巧的指導
instructor                              教師；教練
Ted is a driving instructor                 泰德是汽車教練





L28
insult                                  /ɪnˈsʌlt/侮辱
add insult to injury            雪上加霜
insurance                           保險
life insurance                      人壽保險
intellectual                         /ˌɪntəˈlektʃuəl/(形)智力的、(名)知識分子
intelligence                        智慧
a person of low intellectual            低智慧的人
intend                                  想要；計算
inception                              開始；開端
intense                                 極度的
intense pain                         劇痛
intensity                               (名)強度
He was watching her with an intensity that was unnerving                        他用一種令她心慌的專注神情看著她
intensive                               強烈的
intensive training                  加強訓練
intention                               意向
no intention of                     無意
interact                                 /ˌɪntərˈækt/互動
interaction                            互動
interfere                               /ˌɪntərˈfɪr/介入
You have no right to interfere with the relationship of your sisters.                   你無權干涉你妹妹們的交友關係
relationship                            關係；人際關係；血緣關係；愛情關係
intermediate                         /ˌɪntərˈmiːdiət/(形)中間的、(名)中間人、(動)干預
intermediate school                 初級中學
interpret                                   /ɪnˈtɜːrprət/口譯
interpret for somebody              替某人翻譯
interruption                                中斷
intimate                                    /ˈɪntɪmət/(形)親密的、(名)至交
intimate friends                        親密朋友
intuition                                   /ˌɪntuˈɪʃn/直覺
Intuition told him that Amy told a lie                  直覺告訴他艾咪說謊
invade                                      /ɪnˈveɪd/侵略
He invaded her privacy in some ways                     他用一些方法介入她的私生活
invasion                                     /ɪnˈveɪʒn/(名)侵犯
an invasion of privacy                  侵犯隱私權
invention                                       /ɪnˈvenʃn/發明
be full of invention                        富有創造力
