L37
senator 									/ˈsenətə(r)/參議員
The senator voted for the bill 				參議員對這議案投票
bill 										帳單、法案
sensation 									轟動的是或人；感覺
Her dealth caused a sensation 				她的去世引起轟動
sensitivity 								敏感度
food sensitivity 							食物過敏
sensor 										感應器
This digital camera uses image sensor. 		這台數位相機使用影像感應
sentiment 									情緒；觀點
With the last sentiment, Arnold was in hearty agreement.		阿諾德強烈贊成最後一個觀點。
hearty 										/ˈhɑːti/ 豐盛的；強烈的
sentimental									多愁善感的；感傷的
The ring wasn't worth very much but it had great sentimental value.			這枚戒指價值不高，但卻很有情感價值。
sequence 									(名)連續、(動)安排...的順序
series 										系列
server 										侍者；伺服器
session 									會議
hold a session 								開會
setting										設定
place setting 								一套餐具
shareholder									股東
shatter										破裂
shatter into pieces							碎成碎片
shed 										(動)流出、(名)分水嶺
She shed no tears when she heard he was dead.			當她聽到他死了，她沒有哭。
sheer 										/ʃɪr/(形副)全然的、純粹的、十足的
It would be sheer madness to trust a man like that.		信任這樣的人將是愚蠢至極。
madness										瘋狂
sheriff 									/ˈʃerɪf/警長
He was a sheriff of the city 				他曾是市警長
shield 										/ʃiːld/(名)盾、(動)保護
The hostages were used as a human shield				人質當成人體盾牌。
hostages									/ˈhɒstɪdʒɪz/ 人質 
shiver 										/ˈʃɪvər/(名)顫抖、(動)發抖
shiver with excitement 						興奮的發抖
shortage 									不足
a shortage of space 						空間不足
shove 										/ʃʌv/推；撞
shove up 									挪出空位
shrug 										/ʃrʌɡ/聳肩
She gave a shrug of her shoulders.			她聳了聳肩
shuttle 									/ˈʃʌtl/(名)短程接駁車、(動)短程穿梭般往返
You can take a shuttle bus 					你可以搭接駁車
sibling										兄弟姊妹
We are a family of five sibling 			我家有五個兄弟姐妹
siege 										/siːdʒ/包圍
After a long siege, the town was forced to yield.		經過長時間的包圍，這座孤城被迫投降。
yield 										產量；屈服
skeleton 									/ˈskelɪtn/骨骼
Only the concrete skeleton of the factory remained.			廠房只剩下混凝土骨架了
