L45
update 										(名)最新情況、(動)更新
upgrade 									升級
utility 									效用；公用事業
utility bills								水電帳單
He cannot for the bills of utilities. 		他付不出水電費
utilize 									/ˈjuː.t̬əl.aɪz/ 利用
The report has been better utilized. 		這報告被更有效利用
vacuum 										/ˈvæk.juːm/ (名)真空、(動)用吸塵器清掃
vacuum cleaner 								吸塵器
vague 										/veɪɡ/ (e 不發音) 朦朧的
She had a vague memory of the picture. 		她對這張照片記憶模糊
valid 										有效的
Enter the valid password. 					輸入有效密碼
variable 									(名)可變物、(形)可變的
variable temperature 						氣溫多變
variation 									變化
seasonal variation 							季節性變化
vein 										/veɪn/ 靜脈
varicose vein 								（尤指腿部的）靜脈曲張
vendor 										攤販
The vendor makes a lot of money 			小攤販賺很多錢
venture 									冒險
They were the astronauts on the first venture to the moon.			他們是首次登陸月球探險的太空人。
venue 										 /ˈven.juː/ 場地
That church us a perfect venue for wedding. 						那間教堂是舉辦婚禮的好場地
verbal 										(形)言詞上的；口頭上的、(名)準動詞
verbal agreement							口頭協議
agreement 									協議；承諾
verbal description 							口頭解釋
verdict 									判決
Her verdict hsa been announced. 			她的判決已經宣布了
version 									版本
versus 										...對...
Tomorrow's game is A versus B. 				明天的比賽是 A 對上 B 
vertical 									(形)垂直的、(名)垂直線
vertical job-loading 						垂直工作增加
vertical lines								垂直線
vertical stripes							豎條紋
stripe 										條紋
veteran 									經驗豐富的人；老手
She bought a veteran car. 					她買了台老爺車
via 										/ˈviː.ə/ (V愛啊) 經由
He flew to New York via Hong Kong.			他經香港飛往紐約
viable 										/ˈvaɪ.ə.bəl/ 可行的
The project is regarded as economically viable. 					那個專案被視為經濟上可行
vicious 									邪惡的
The boxer had a vicious temper 				這拳擊手性格殘暴
viewer 										觀看者
viewpoint 									觀點
We support their viewpoints. 				我們支持他們的觀點
