L42
symptom 											症狀
flu symptom 										感冒症狀
syndrome											症候群
Early diagnosis of the syndrome is difficult, but it is important to begin treatment as soon as possible.			此症候群的早期診斷很困難，但盡快開始治療很重要
diagnosis 											診斷
treatment											治療
tackle 												著手處理
There are many ways of tackling this problem.		處理這個問題有許多辦法。
tactic(s) 											戰術
These bomb attacks represent a change of tactics by the terrorists.				這些炸彈襲擊事件表明恐怖分子改變了策略。
terrorists											恐怖分子
tangle 												使糾纏；糾紛
a tangle of wires									一團亂糟糟的電線
tempt 												(動)誘惑
The offer of free credit tempted her into buying a new car.						可享受免費貸款讓她禁不住誘惑買了一輛新車。
offer 												主動給予；提議
offer of free credit 								免費貸款
temptation 											(名)誘惑
He gives way to temptation 							他禁不起誘惑
terminal 											末端的
air terminal 										機場候機大樓
terrify 											使恐懼
The dog terrified the kid 							這隻小狗嚇到小孩了
testify 											作證
She testified that she saw what happened 			她作證看到所發生的事
texture												(名)結構、(動)使...具有粗糙紋理
theft 												竊盜
identity theft 										盜用別人身分
theology											/θiˈɑː.lə.dʒi/ 神學
She received a theology degree. 					她有神學學位
theoretical 										/ˌθiː.əˈret̬.ə.kəl/ 理論上的
theoretical debate 									理論辯論
debate 												談論
therapist 											治療學家
speech therapist 									語言治療師
therapy 											(名)治療
Joining a club can be a therapy for loneliness.		加入俱樂部可能是消解孤獨的一種方法
loneliness 											(名)孤獨；寂寞
thereby 											因此
Diets that are high in saturated fat clog up our arteries, thereby reducing the blood flow to our hearts and brains.			高飽和脂肪和高膽固醇的飲食容易阻塞我們的動脈，從而減少向心臟和大腦的供血
diet 												節食；飲食
saturated 											飽和的
saturated fat 										飽和脂肪
clog 												阻塞
arteries 											/ˈɑːr.t̬ɚ.i/ 動脈
thesis 												論文
thigh 												/θaɪ/ (賽) 大腿
Her thighs are fat 									她大腿豐滿
threshold 											門檻
thrill 												/θrɪl/ (名)興奮、(動)使興奮
the thrill of winning a competition					贏得比賽的激動
thriller 											恐怖小說和電影
He reads a thriller 								他看恐怖小說
thrive 												/θraɪv/興旺
His business thrived in the years before the war.	他的生意在戰前幾年蓬勃發展
throne 												/θroʊn/王權
on the throne 										在位
