L25
hardware                                硬體
harmony                                /ˈhɑːrməni/一致；和諧；協調
This design aims for harmony of form and function.                  該設計旨在實現形式與功能的和諧
harsh                                     刺耳的；嚴厲的；惡劣的
He heard a harsh voice.                 他聽到刺耳的聲音
haste                                      /heɪst/急忙；倉促
in one's haste                         在某人匆忙之中
In her haste to complete the work on time, she made a number of mistake.                    由於急於按時完成工作，她犯了一些錯誤
hasten                                    /ˈheɪsn/趕忙
Eric hastened to say sorry when he hit someone accidentally.                艾瑞克不小心撞到人時會趕緊道歉
hatred                                    /ˈheɪtrɪd/怨恨；仇恨；蹭恨
toward                                   朝向；面對；對(於)
She felt hatred toward her rivals.                  她怨恨她的對手
hawk                                      /hɔːk/老鷹
war hawk                               好戰份子
helicopter                              直升機
The helicopter hovers over the villa            直升機在別墅上盤旋
herd                                        /hɜːrd/(名)放牧的獸群、(動)放牧 
a herd of                                一群
hestitation                             猶豫
hive                                        (名)蜂窩、(動)儲備
hive off                                    賣掉公司的部分
homeland                                祖國
