L4
assessment								評價；估計
objective assessment 					客觀判定
objective 								(形)客觀的、(名)目標
subjective 								主觀的
asset  									/ˈæset/財產；有用的人；優點
asset value 							資產淨值
assumption 								前提；假設
We need to challenge some of the basic assumptions of Western philosophy. 				我們有必要向西方哲學的某些基本假設提出質疑
philosophy 								/fəˈlɑːsəfi/哲學
astonish 								/əˈstɑːnɪʃ/使...吃驚
He astonishs her. 						他讓她大吃一驚
astonishment 							驚訝
to one's astonishment 					讓某人驚訝的是...
athletics	 							/æθˈletɪks/(名)競技運動，不能沒有 s 
Athletics includes sports and physical activities. 				競技運動包括運動及體能活動
athlete 								/ˈæθliːt/運動員
attendance 								出席
be in attendance 						出席
attic 									/ˈætɪk/閣樓 (建築物上部架起的一層矮小的樓層)
an attic study 							閣樓書房
attorney 								/əˈtɜːrni/律師；辯護律師
“attorney” 和 “lawyer” 通常是無異，可以交互使用，但要細分的話，lawyer 可以只提供法律諮詢，不一定要出庭
Her dream is to become an attorney. 			她的夢想是成為一位律師
attribute 								/əˈtrɪbjuːt/歸因於
I attribute my success to my parents. 			我之所以成功都是因為我的父母
auction 								/ˈɔːkʃn/拍賣
auction off 							拍賣
The house is up for auction. 			這房子將被拍賣
authorize 								/ˈɔːθəraɪz/授權
authorize sb. to 						授權某人做某事
The soldiers were authorized to shoot at will. 				士兵得到允許可以隨意開槍
autonomy 								/ɔːˈtɑːnəmi/自治
give autonomy 							給予自主權
She sets a high value on autonomy. 			她對自主權看得很重。
awe 									(名)敬畏、(動)使敬畏
be in a awe of sb. 						對...人感到敬畏
'It's magnificent, ' she whispered in awe. 		「真是壯觀」她小聲地驚嘆道
magnificent 							/mæɡˈnɪfɪsnt/壯麗的；宏偉的
whispered 								/ˈwɪspərd/耳語；小聲說、whisper的過去分詞與過去式
backyard 								後面
We grow an orange tree in our backyard. 			我們在後院種了一顆橙樹
ballot 									/ˈbælət/(名)選票、(動)投票選舉
ballot paper 							選票
ban 									禁止
ban smoking in public places 			公共場合禁止吸菸
banner 									橫幅廣告
under the banner 						聲稱支持某主張
barren 									/ˈbærən/(形)貧瘠的；不孕的、(名)荒原；荒地
barren woman 							不孕婦女
be barren of 							缺乏
batch 									一批
a batch of 								一批
We deliver the goods in batches.		我們分批交付貨物。
behalf 									/bɪˈhæf/代表
on behalf of sb. 						代表某人
She was nominated to speak on our behalf. 			她被指派代表我們發言
nominated 								/ˈnɑːmɪneɪtɪd/提名；指派；推薦、nominate的過去分詞與過去式
belongings 								/bɪˈlɔːŋɪŋz/隨身物品；財物
The woman packs her few belongings in the backpack.	 		女子將幾樣東西放入背包
pack 									裝；收拾；包裹
