L36
risky										冒險的
That is a risky behavior 					那是個冒險的行為
ritual 										(名)儀式、(形)(宗教)儀式的
something of ritual 						例行公事
Rituals and festivals form an integral part of every human society 			儀式與節日構成了任何人類社會中不可缺少的一部分。
form 										表格；結構；形式
rival 										(形)競爭的、(名)對手、(動)競爭
We have been rivals. 						我們一直是競爭對手
rod 										竿子、棒子
fishing with rod 							用竿子釣魚
fishing rod 								釣竿
sacred 										/ˈseɪkrɪd/神聖的
a sacred temple 							神殿
saddle 										/ˈsædl/(名)馬鞍、(動)使負擔
in the saddle 								掌權、騎馬
She swung herself into the saddle. 			她跳上馬鞍。
swung 										擺動、swing 過去式；過去分詞
saint 										(名)聖人、(動)使成為聖徒
He is a saint 								他像個聖人
salmon 										(名)鮭魚、(形)鮭肉色的
What kind of fish do you like, salmon or sardine? 				你喜歡什麼魚，鮭魚或沙丁魚
sardine 									/ˌsɑːrˈdiːn/沙丁魚
salon 										沙龍；美容院；美髮院
She is a VIP of this salon 					她是這家沙龍的貴賓
sandal 										/ˈsændl/涼鞋
She wears a pair of green sandals. 			她穿了一雙綠色涼鞋
scan 										(名)審視、(動)掃描
scan into 									把...掃描進去
scandal 									醜聞
scandal sheet 								黃色書刊
sheet 										薄片；一張；床單
scar 										/skɑːr/(名)傷痕；刀疤、(動)結疤、哥吉拉與金剛裡面的刀疤王就叫 scar king
scenario 									情境
Under the scenario, the company went bankrupt. 					在這種情境下，公司破產了
scent 										(名)氣味、(動)嗅出
put off the scent 							失去線索
The air was heavy with the scent of flowers. 					空氣中瀰漫著濃鬱的花香。
scheme 										/skiːm/(名)計畫、(動)策畫
She had a busy scheme 						她計畫表很滿
scope 										範圍
scope for promotion 						提拔的機會
promotion 									推廣；提升
There's still plenty of scope for improvement. 					還有很大的改進空間。
scramble 									(動)雜亂地收集；攀登；爭奪、(名)爬行
scramble one's feet 						慌忙站起
There was a mad scramble for the best seats. 					人們不顧一切地搶佔最好的座位。
mad 										瘋狂的；生氣的
scrap 										(名)小塊；碎片、(動)廢棄
on the scrap heap 							慌忙站起
It won't make a scrap of difference. 		這不會有絲毫的差別。
script 										(名)筆跡、(動)把...改編為劇本
sector 										扇形；部門
public sector 								公共部門
The committee is comprised of representatives from both the public and private sectors. 			委員會由政府和私人部門兩方的代表組成。
comprised 									包括；包含
segment 									(名)部分；分割
a small segment of 							一小部分
seminar 									/ˈsemɪnɑːr/研討會
There is a seminar on employment today. 	今天有個職業研討會
