L28
nutrition 										營養 
The doctor gave her advice on diet and nutrition. 			醫生提供她飲食和增加營養的忠告
obligation 										義務
under obligation 								有義務
obscure 										(形)陰暗的；模糊的、(動)使變暗
The view is obscured by the typhoon. 			景色因為颱風而變的陰暗
observer 										觀察者
according to the observer... 					根據目擊者
A close observer would have noticed it. 		若是一位細心的觀察者，早就會注意到這個問題了。
odds 											機會；機率；可能性
The odds to win lottery are poor. 				贏得樂透的機會很小
offering 										供奉
offering to the gods 							奉獻給諸神
olive 											/ˈɑːlɪv/(形)橄欖的、(名)橄欖
olive lio 										橄欖油
operational 									操作上的
operational costs 								營運成本
opponent 										/əˈpoʊnənt/對手
a worthy opponent 								勢均力敵的對手
worthy 											值得的
opposition 										反對
in opposition 									在野黨
Despite strong opposition, the ruling party carried the day. 			儘管遭到強烈反對，執政黨還是贏了。
ruling party 									執政黨
opt 											/ɑːpt/選擇
When prices are the same, I opt for better quality. 					價格一樣時，我選擇品質更好的
