L24
journalism 									新聞學；新聞業
people journalism 							名人報導
journalist 									新聞記者
To ba a journalist is tiring 				當記者很累人
judicial 									/dʒuˈdɪʃl/司法的
That case is under judicail review now 		那案件正在進行司法審查中
jug											/dʒʌɡ/(名)水壺、(動)煮
The cook needs a measuring jug 				廚師需要量杯
jury										/ˈdʒʊri/陪審團
The jury deliberated for five days before finding him guilty. 				陪審團認真討論了五天才裁定他有罪。
diliberate 									深思熟慮；反覆思考
the jury is out on sth. 					對某事懸而未決
justify 									證明...有理
justice 									正義
The end justifies the means 				[俚語]不擇手段
means 										(名)方法；方式、(動)意思是；打算
juvenile 									(形)少年的；未成年的；幼稚的、(名)青少年
Don't be so juvenile 						別這麼孩子氣
Tony was a juvenile offender 				湯尼是少年罪犯
offender 									罪犯；犯罪者
landlord 									房東
Ben is a rich landlord 						班是有錢的房東
laser 										雷射
lawmaker 									立法者
A lawmaker is very important for a country. 		立法者對國家很重要
lawsuit 									訴訟
She filed a lawsuit against her former boss. 		她對前老闆提出訴訟
filed 										file 過去式、過去分詞、(動)提出(申請)；發送；提起(訴訟)
former 										模型；以前的
layer 										(名)層、(動)將...堆積成層
the layers of meaning 						不同層次意思
league 										/liːɡ/(名)聯盟、(動)結盟
League of Legends							英雄聯盟
Legends										傳說；傳奇
legacy 										/ˈleɡəsi/傳承；遺產
If they don't keep this tradition, there won't be a legacy. 			如果他們不保住這個傳統，就不會傳承
legendary	 								傳說的
a legendary figure 							盛名的人物
legislation 								/ˌledʒɪsˈleɪʃn/立法
a piece of legislation 						一條法規
legislative 								立法的
legislative council 						立法委員會
council 									/ˈkaʊnsl/委員會；開會
