L44
triple											(形)三倍的、(動)使成三倍、(名)三倍數
triple measure 									三拍子
trivial 										瑣碎的
It sounds trivial 								聽起來很瑣碎
trophy 											戰利品
He's an excellent rider, but he's never won a major trophy.				他是個出色的騎手，但從未贏得過任何一項重要比賽的冠軍。
major trophy 									主要的獎盃(冠軍)
tuition 										教學
tuition fee 									學費
tumor 											腫瘤
remove tumor 									切除腫瘤
tuna 											鮪魚
Her favorite food is tuna 						她最愛的食物是鮪魚
ultimate 										(形)極端的；最先或最後的、(名)結局
He paid the ultimate price. 					他付出了最終的代價
uncover 										(動)揭露；揭開覆蓋物
uncover a plot 									揭開應謀
plot 											陰謀
The biography is an attempt to uncover the inner man.			該傳記試圖揭示他內心世界的隱秘。
undergo 	 									經歷
He underwent tests. 							他接受考驗
undergraduate 									大學生
He is an undergraduate. 						他是大學生
underline 										(名動)底線；畫底線
Please underline this sentence. 				請在句子下面畫線
undermine 										削弱；損害(信心、權威)
Criticism just undermines their confidence.		批評只是削弱了他們的信心。
undertake 										試圖
undertake a project 							負責一項工作
undo 											打開
She undid a bag 								她解開袋子
undoubtedly 									/ʌnˈdaʊ.t̬ɪd.li/無庸置疑地
unemployment 									失業
rising rates of unemployment					失業率上升
unfold 											打開
The kid unfolded his arms. 						小孩張開雙臂
unlock 											開...的鎖
unlock the door 								開門鎖
unprecedented 									前所未有的
The movement is unprecedented 					那個活動是前所未有的
