L20
galaxy 								銀河
gasp 								喘氣
She managed to gasp out her name. 				她終於氣喘吁吁地說出了她的名字。
managed 							受監督的、完成；應付
gasp out 							氣喘吁吁地說出來
gathering 							聚集
a family gathering 					家庭聚會
generate 							產生
generator 							發電機
clock generator 					計時產生器
genetic 							/dʒəˈnetɪk/基因的
genetic code 						遺傳密碼
genetics							遺傳學
behavioral genertics 				行為遺傳學
behavioral 							/bɪ'heɪvjərəl/關於行為的
genre 								/ˈʒɑːnrə/類型
Is the genre of this play comedy? 			這劇本的類型是喜劇嗎？
glare 								/ɡler/怒木而視；鄧眼
glare back 							鄧回去
She glares at me if I go near her desk. 				我一走近她的辦公桌，她就對我瞪眼。
gloomy 								/ˈɡluːmi/幽暗的
He lives in a gloomy house 			他住在陰暗的房子
gorgeous 							/ˈɡɔːrdʒəs/絢麗的
You look gorgeous 					你看起來好棒哦
grant 								給予
I will take it for granted 			我認為理所當然
graphic 							圖解的；圖案的
graphic design 						平面設計
gravity 							重力
center gravity 						重心
greed 								(名)貪心
greedy 								(形)貪心的
one's greed for power	 			對權力貪婪
grieve 								悲傷
He grieves for the divorce. 		他因為離婚而感到傷心
divorce 							離婚
grill 								/ɡrɪl/烤架
He had dinner at a grill and bar		他在烤肉店吃晚餐
grim 								/ɡrɪm/嚴格的
The teacher looked grim this morning 				老師早上看起來很嚴格
grip 								/ɡrɪp/緊握；理解
get to grips with 					開始處理
You need to keep a good grip on reality in this job. 				做這個工作你需要充分了解實際情況。
gross 								(形)總的、(動)獲得、(名)總額
Investments showed a gross profit of 26%. 			投資毛利為26%。
gross profit 						總利潤
guideline 							指導方針
draw up guideline 					制定方針
gut 								(名)腸子、(動)取出內臟
work one's guts out 				拼命做事
He doesn't have the guts to walk away from a well-paid job. 			他沒有勇氣放棄一份高薪工作。
walk away 							走開；一走了之
habitat 							棲息地
Plants, like animals, often have restricted habitats. 			與動物一樣，植物的棲息地通常受到限制。
restricted 							受限制
