L21
haul 										拖；拉
haul out of bed 							努力地下床
A crane had to be used to haul the car out of the stream 				必須使用起重機將汽車從溪流中拖出來
crane 										/kreɪn/起重機
stream 										流；流動；河流
hazard 										(名)危險、(動)常識
ba aware of the hazard of 					察覺...危險
Growing levels of pollution represent a serious health hazard to the local population. 				日益嚴重的污染對當地人民的健康構成了重大威脅。
local population 							當地人口
represent									意味；構成；代表著；代表
heir 										/er/繼承人
heir presumptive 							假定繼承人
presumptive 								/prɪˈzʌmptɪv/假設的；推斷的
He had no title and was not the heir to a great estate. 			他沒有頭銜，也不是大筆遺產的繼承人。
estate 										財產 
hence 										今後；因此
He woke up late; hence he decide to go to work by cab. 				他晚起床，因此決定坐計程車去上班
cab 										計程車；出租車
herb 										/ɜːrb/草本植物
He is a herb doctor. 						他是草藥醫生
heritage 									/ˈherɪtɪdʒ/遺產
cultural heritage 							文化遺產
highlight 									(動)註記重點；強調、(名)強光
hockey 										曲棍球
ice hockey 									冰上曲棍球
honorable 									可敬的
He is an honorable manager. 				他是可敬的經理
horizontal 									(形)地平線的、(名)水平線
horizontal lines 							橫線
hormone 									/ˈhɔːrmoʊn/賀爾蒙
growth hormone 								生長激素
hostage 									人質
be taken hostage 							被當人質
The hostages were used as a human shield. 			人質當成人肉盾牌。
shield 										/ʃiːld/盾牌
hostile 									/ˈhɑːstl/敵方的
be hostile towards sb. 						對抗某人
towards 									向；朝；接近
hostility 									/hɑːˈstɪləti/敵意
open hostility between 						在...之間公開對立
housing 									住房供給
the housing market 							房屋市場
howl 										/haʊl/嚎叫
howl in despair 							絕望喊叫
despair 									絕望
hypothesis 									/haɪˈpɑːθəsɪs/假設
The hypothesis has been proven to be true 			這個假說已被證實
proven										被證明的
icon 										圖示
ideology 									/ˌaɪdiˈɑːlədʒi/意識形態；思想
A person's work style is related to his ideology. 				人的作風和思想是有連帶關係的。
idiot 										/ˈɪdiət/傻瓜
illusion 									錯覺
optical illusion 							視覺幻象
optical 									光學的；視力的；
optional 									可選擇的
immense 									/ɪˈmens/巨大的
There is still an immense amount of work to be done. 			還有非常非常多的工作沒有做。
immune 										/ɪˈmjuːn/免疫的
Yoga can be used to strengthen the immune system. 				瑜珈能增強人體免疫系統。
immune system 								免疫系統
