L34
rational 									理性的
rational thought 							理性思考
rattle 										(動)發出咯咯聲、(名)咯咯聲
rattle off 									脫口而出
Every time a bus went past , the windows rattled . 			每逢公車經過這裡，窗戶都格格作響。
realism 									/ˈriːəlɪzəm/現實主義；寫實主義
Both realism and naturalism are mimetic systems or practices of representation 			現實主義和自然主義都是一種模仿體系或表現性的做法。
mimetic 									模仿的
realm 										/relm/王國
The realm was ruled by a bad king. 			這個國家由壞國王統治
rear 										(形)後面的、(名)後面
bring up the rear 							殿後
A high gate blocks the only entrance to the rear. 			一座高大的門擋住了通往後方的唯一入口。
blocks 										阻塞；街區
reassure 									/ˌriːəˈʃʊr/使放心
She reassured me that Jack was doing ok. 		她一再向我保證捷克過的很好
rebellion 									/rɪˈbeljən/叛亂
put down the rebellion 						鎮壓叛亂
recession 									/rɪˈseʃn/退後；經濟衰退
Is the economy recession? 					經濟正在衰退嗎？
recipient 									接受者
recipient fund 								接受資金者
recipe 										食譜
recommend 									推薦
Can you recommend some restaurants to us? 		你能推薦我們幾間餐廳嗎？
recommendation 								推薦
recruit 									/rɪˈkruːt/(動)徵募新兵、招募、(名)新兵
recruit new members 						招募新成員
refuge 										避難
take refuge 								避難
He regarded the room as a refuge from the outside world . 			他把這個房子當作是逃避外界的避難所。
regardless 									(形)不注意的、(副)無論如何；不管
regardless of 								不顧
Regardless of whether he is right or wrong , we have to abide by his decisions . 			不管他正確與否，我們都得服從他的決定。
abide 										遵守；服從
regime 										/reɪˈʒiːm/政權
an oppressive regime 						高壓政權
oppressive 									/əˈpresɪv/壓迫的；高壓的
rehearsal 									排練
dress rehearsal 							彩排
We only had six days of rehearsal.	 		我們只有六天的排練時間。
reinforce 									增強
He reinforce his reputation through donations. 		他藉由捐款增強名譽
reputation 									名聲
removal 									/rɪˈmuːvl/除去；搬遷
stain removal 								除去汙點
stain 										/steɪn/污漬、汙點；我英-斯坦因
They were in the furniture removal business. 		他們做家具搬運生意。
render 										給予
The waiter renders her a service 			服務生替她服務
rental 										租金
car rental company 							汽車出租公司
reminder 									提醒者
reminder of... 								提醒
This has been a timely reminder to us all . 			對我們大家來說這個提醒非常及時。
