L41
submit										提交
subsequent 									隨後的；伴隨發生的
Subsequent events confirmed our doubts.		後來發生的事證實了我們的懷疑
subsidy 									補助
She said that low-income families are eligible for childcare subsides.			她說，低收入家庭有資格獲得育兒補貼
eligible 									/ˈelɪdʒəbl/有資格的
legal 										合法的
childcare 									兒童保育
substantial 								實在的；大量的；高價值的
Substantial numbers of people support the reforms. 						相當多的人支持這些改革措施
reforms 									改革
They had a substantial dinner. 				他們晚餐大快朵頤
substitute 									(名)代替物、(動)用...代替
There is no substitute for practical experience.						實務經驗是無法取代的
subtle 										(b 不發音) 微妙的
subtle flavor 								淡淡的味道
There are subtle differences between the two versions					兩個版本之間有一些細微的差異
suburban									/səˈbɜːrbən/郊外的
They lived in a suburban house. 			他們住在郊外住宅
successor 									繼任者
He is the successor to Mr.Wang as a leader 								他是繼王先生之後的領袖
suite 										/swiːt/套房
a honeymoon suite 							蜜月套房
superb 										極好的
Frank looks superb 							法蘭克看起來很棒
superstition 								迷信
It's all rubbish and superstition, and there's nothing in it. 			這都是廢話和迷信，不是真的
rubbish 									廢話；垃圾
supervise 									監督
One of his jobs was supervising the dining room.						他的工作之一是管理餐廳。
supervision 								(名)監督
There are ten people under Emma's supervision 							艾瑪監督十個人
supervisor 	 								監督者
She is a supervisior in an elementary school. 							她是小學主任
supposedly 									按推測
Supposedly, she should have arrived 		按推測，她應該早到了
supreme 									/suːˈpriːm/最高的
Supreme Court 								最高法院
surplus 									/ˈsɜːrplʌs/過剩
These goods are surplus to requirements. 								這些貨物超過了我們的需要
surveillance 								/sɜːrˈveɪləns/監視
Those criminals were kept under close surveillance. 					那些罪犯受到嚴密監視
suspend 									使中止
The workers who abstained from work yesterday have been suspended		昨天曠工的工人被暫時停職
abstain 									棄權；離開
sustain 									支撐
sustain effort 								堅持努力
sustainable 								永續的
The UN sustainable development goals call for countries to take actions as soon as possible. 		聯合國的永續發展目標呼籲各國儘早採取行動
United Nations(UN)							聯合國
United										團結的
swap 										/swɑːp/ (絲襪ㄆ) 交換
swap place 									交換位置
symbolic 									象徵的
symbolic logic 								邏輯符號
