hunger                          飢餓
strike                             /straɪk/罷工
hunger strike                 絕食抗議
hut                                 小屋
He live in a wooden hut near the forest             他住在森林附近的小木屋
icy                                  /ˈaɪ.si/冰的
Her hands are icy cold                  她雙手冰冷
imagination                   想像
get no imagination              無想像力
immediate                      立即的
an immediate reaction           即時反應
import                            進口
import from abroad              外國進口
impress                          給...極深的印象
It impressed somebody                   令人敬佩的是...
indoor                           (形)室內的
He is swimming in an indoor pool                他在室內游泳池游泳
indoors                          (副)在室內
her indoors                    老婆
industrial                        產業的
industrial action             罷工
inferior                            /ɪnˈfɪr.i.ɚ/(形)下級的、(名)部下
These products are inferior to those we bought last year.               這些產品比我們去年買的差些。
inferior to                       不如
