L46
vinegar 												醋
He doesn't like the the smell of vinegar. 				他不喜歡醋味
virtual 												事實上的；虛擬的
virtual reality 										虛擬實境
Ten years of incompetent government had brought about the virtual collapse of the country's economy.			無能政府十年的執政已經把這個國家帶到了崩潰的邊緣
incompetent 											無能力的
collapse 												垮掉；崩潰
visa 													簽證
exit visa 												出國簽證
vocal 													(形)聲音的、(名)母音
He is interested in vocal music 						他對聲樂感興趣
voluntary 												自願的
voluntary agreement 									自願簽訂的協議
vomit 													嘔吐
He came home drunk and vomited all over the kitchen floor.				他醉醺醺地回到家裡，在廚房裡吐了一地。
voucher 												/ˈvaʊ.tʃɚ/ 兌換券
The voucher cannot be redeemed for cash 				兌換券不得兌換現金
redeem 													/rɪˈdiːm/ 彌補；贖回；兌換
vow 													/vaʊ/ (名)誓約、(動)發誓
vulnerable 												易受傷害的
Lisa is vulnerable to illness. 							麗莎很容易生病
warehouse 												(名)倉庫、(動)存入倉庫
You cannot live in the warehouse 						你不能住倉庫
warrior 												武士 (殺母來)
wary 													注意的；謹慎的
He is wary of missing the bus 							他注意不錯過巴士
weird	 												怪誕的
He had a weird dream 									他做怪夢
whatsoever 												(形)任何的、(代)任何事物
whatsoever they say 									隨他們去說
wheelchair 												輪椅
After the car accident, she needs a wheelchair 			發生車禍後，她需要輪椅
whereabouts 											(名)行蹤、(副)在哪裡
Whereabouts did you lose your bag? 						你在哪裡丟掉袋子？
whereas 												然而
Some students are hard-working, whereas otheers are not. 				有些學生用功，但有些不用功
whine													/waɪn/ (名)哀號聲、(動)哀號
wine 													/waɪn/ 葡萄酒，看來念法一模一樣
"I feel bad," Tim whined. 								我感覺不好，提姆哀號著
widespread 												流傳很廣的
widespread support 										廣泛支持
The campaign has received widespread support. 			這場運動得到廣泛支持
wig 													假髮
The wig is not cheap 									一頂假髮不便宜
wilderness 												荒野
in the wilderness 										在野外
The garden was a wilderness of weeds and overgrown bushes.			這個花園一片荒蕪，滿是雜草和叢生的灌木。
weed 													雜草；瘦弱；懦弱的人
overgrown 												草木叢生的
bush 													灌木叢
wildlife 												野生生物
wildlife conservation 									野生對物保護
conservation 											(環境、動物、自然)保育、保護

L47
windshield 												擋風玻璃
windshield wiper 										雨刷
wither 													枯萎
The flowers had withered. 								這些花枯萎了
witty 													反應靈敏的；風趣的
Victor is a witty writer. 								維特是個詼諧的作家
workshop 												工作坊
He owns a drama workshop 								他有一間戲劇工作坊
worship 												崇拜
hero worship 											英雄崇拜
On the island the people worshipped different gods.		在這個島上，人們信仰不同的神
worthwhile												值得做的
a worthwhile job 										有意義的工作
worthy 													有價值的
be worthy of mention 									值得一提
yacht 													/jɑːt/ (ch 不發音) (名)帆船；遊艇、(動)駕快艇
a motor yacht 											摩托艇
yield 													(動)生產；讓路、(名)產量
an attempt to yield increased profits					試圖增加利潤
profit 													利潤
